"dtype","id","date_added","data"
Customer,c1283ff3-a720-4817-a588-17df24d3bcad,2018-11-25 18:51:27,"{""id"": ""c1283ff3-a720-4817-a588-17df24d3bcad"", ""lastName"": ""SZ0uwBFmA4nr6AM2CMMm"", ""firstName"": ""mEP6lNQFf0DWkem""}"
Customer,ee60e475-765c-4c27-b9b0-83f7e45f35b1,2018-11-25 18:51:27,"{""id"": ""ee60e475-765c-4c27-b9b0-83f7e45f35b1"", ""lastName"": ""u1EwxrIsg6nhWiyI7kA6"", ""firstName"": ""Y2ej3eKehD1Kck1""}"
Customer,a64e4028-fab3-40db-bd12-dc1e660b71f9,2018-11-25 18:51:27,"{""id"": ""a64e4028-fab3-40db-bd12-dc1e660b71f9"", ""lastName"": ""8VtY1RI1NvYAWSJoBQ7h"", ""firstName"": ""ivJC5FCassOzBGF""}"
Customer,"0637708b-657c-408d-8ab6-a505667a7726",2018-11-25 18:51:27,"{""id"": ""0637708b-657c-408d-8ab6-a505667a7726"", ""lastName"": ""LKbxB2bkmMqrc36DXc5W"", ""firstName"": ""s2Ogow7np4WIGCH""}"
Customer,"6a76d436-5e6b-4164-9c2c-313413f576d0",2018-11-25 18:51:27,"{""id"": ""6a76d436-5e6b-4164-9c2c-313413f576d0"", ""lastName"": ""chY17tJjck46asKxEz9W"", ""firstName"": ""8Bshk2BwvbB3mrG""}"
Customer,"66e01443-1ec6-4f17-a670-3251f154cc0d",2018-11-25 18:51:27,"{""id"": ""66e01443-1ec6-4f17-a670-3251f154cc0d"", ""lastName"": ""xnHqiPrzoArlzz3invhJ"", ""firstName"": ""rSwuXvc2XHxDLYY""}"
Customer,"297960df-0e30-44b5-b360-8be2720847aa",2018-11-25 18:51:27,"{""id"": ""297960df-0e30-44b5-b360-8be2720847aa"", ""lastName"": ""tJUzcfa3hrmTJAqbFmdW"", ""firstName"": ""NAQ3g2WWd1reon2""}"
Customer,dca91641-a498-43be-ae6a-d966ac56f5ed,2018-11-25 18:51:27,"{""id"": ""dca91641-a498-43be-ae6a-d966ac56f5ed"", ""lastName"": ""ScrTtoEujetbst8dq2K3"", ""firstName"": ""IM0nnNGD2HjzbeA""}"
Customer,"902ed886-7e15-4535-9916-bb23f2f9418d",2018-11-25 18:51:27,"{""id"": ""902ed886-7e15-4535-9916-bb23f2f9418d"", ""lastName"": ""gi5hkpSyjdq4vw9nt5sB"", ""firstName"": ""3qWulnWkNbLr1wc""}"
Customer,"83ca97b8-d85e-4a21-9f2a-faf4b705320d",2018-11-25 18:51:27,"{""id"": ""83ca97b8-d85e-4a21-9f2a-faf4b705320d"", ""lastName"": ""VC5Ca7cF6Jn26QYJyHgO"", ""firstName"": ""gEHMf5Ql6gSU56B""}"
